6729.00000000     -535.354959546905206
6730.00000000     -535.353902158874689
6731.00000000     -535.352857331578434
6732.00000000     -535.351826273625761
6733.00000000     -535.350810221607730
6734.00000000     -535.349810439070325
6735.00000000     -535.348828215484446
6736.00000000     -535.347864864917369
6737.00000000     -535.346921724099843
6738.00000000     -535.346000150522855
6739.00000000     -535.345101519830791
6740.00000000     -535.344227222907534
6741.00000000     -535.343378662534178
6742.00000000     -535.342557249408173
6743.00000000     -535.341764397883367
6744.00000000     -535.341001521003136
6745.00000000     -535.340270025118571
6746.00000000     -535.339571303915818
6747.00000000     -535.338906731978682
6748.00000000     -535.338277657878734
6749.00000000     -535.337685396799088
6750.00000000     -535.337131222801190
6751.00000000     -535.336616360817857
6752.00000000     -535.336141978377100
6753.00000000     -535.335709177309582
6754.00000000     -535.335318985415711
6755.00000000     -535.334972348324300
6756.00000000     -535.334670121625322
6757.00000000     -535.334413063807006
6758.00000000     -535.334201828600612
6759.00000000     -535.334036960332469
6760.00000000     -535.333918887391292
6761.00000000     -535.333847919036089
